friend_screen_name,friend_id,appereance_count,in_database
IPCC_CH,192942213,64,True
UNFCCC,17463923,61,True
GretaThunberg,1006419421244678144,59,False
guardianeco,20582958,59,False
KHayhoe,34317032,57,True
CarbonBrief,223416400,55,False
350,14266598,54,False
UNEP,38146999,53,True
NatureClimate,163844242,53,True
Revkin,11178672,53,False
ClimateReality,16958346,53,True
ClimateCentral,15463610,52,True
UN,14159148,52,False
CFigueres,243236419,51,False
Greenpeace,3459051,50,True
NASAClimate,15461733,50,True
algore,17220934,50,False
ClimateDesk,120181944,49,False
NASA,11348282,49,True
WMO,113062227,48,True
NatureNews,15862891,48,False
billmckibben,21786618,47,True
dpcarrington,195419597,47,False
nytclimate,14603515,46,False
WorldResources,14559745,46,False
BarackObama,813286,45,False
MichaelEMann,384923143,44,True
NOAA,14342564,44,False
ClimateGroup,21866534,44,True
NatGeo,17471979,44,False
nature,487833518,43,True
YaleClimateComm,125767077,43,False
sciam,14647570,43,False
HuffPostGreen,45577446,43,False
newscientist,19658826,43,False
PeterGleick,146123790,42,False
ed_hawkins,70736359,42,True
guardianscience,21581503,41,False
WWF,13201312,40,True
WHO,14499829,40,False
rahmstorf,253998571,39,True
NASAEarth,24919888,39,True
ClimatePower,28657802,39,False
ClimateOfGavin,989633635,38,True
adamvaughan_uk,15687090,38,False
ClimateHome,43092107,38,False
richardabetts,101081754,38,True
NYTScience,1435461,38,False
insideclimate,14050550,38,False
YaleE360,19918353,38,False
LeoDiCaprio,133880286,37,False
IUCN,23638544,37,False
EricHolthaus,290180065,37,False
ScienceMagazine,32372834,37,True
HeidiCullen,16470495,36,False
BillGates,50393960,36,False
nytimes,807095,36,False
LeoHickman,181912222,36,False
WRIClimate,202313343,36,False
grist,7215512,36,False
WorldBank,27860681,36,False
guardian,87818409,36,False
DrKateMarvel,2354013972,35,False
theAGU,39530187,35,True
john_vidal,27681019,35,False
TheEconomist,5988062,35,False
WBG_Climate,16544818,35,False
nature_org,17596622,35,False
NatureGeosci,248742334,34,False
TyndallCentre,22341016,34,True
Treehugger,14634720,34,False
the_ecologist,59460397,34,False
friends_earth,20329672,34,False
COP21,2617471956,34,False
UNDP,20596281,34,False
World_Wildlife,16029780,34,False
GlobalEcoGuy,378643551,33,False
_richardblack,95428712,33,False
JPvanYpersele,440413534,33,False
SEIclimate,221041703,33,False
chriscmooney,49164309,33,False
NaomiAKlein,189376144,32,False
RHarrabin,368292391,32,False
KenCaldeira,146548246,32,False
BBCWorld,742143,32,False
WFP,27830610,32,False
BBCBreaking,5402612,32,False
NRDC,18713552,32,True
UNICEF,33933259,32,False
TEDTalks,15492359,31,False
NOAAClimate,552985513,31,False
skepticscience,88392301,31,False
NSF,16245822,31,False
Peters_Glen,917421961,31,False
GeorgeMonbiot,198584761,31,False
wef,5120691,31,False
afreedma,15489945,31,False
BillNye,37710752,31,False
hausfath,15305044,30,False
DrSimEvans,526871737,30,False
UNESCO,20646711,30,False
valmasdel,54886635,29,True
dana1981,14632294,29,False
ClimateComms,362642209,29,False
flimsin,92241457,29,False
tveitdal,75742264,29,False
earthinstitute,15173291,29,True
SustDev,260928758,29,False
tcktcktck,21875834,29,False
Reuters,1652541,28,False
ExtinctionR,1019974187975430144,28,False
DECCgovuk,41077970,28,False
NCAR_Science,30028674,28,False
WIREDScience,8963722,28,False
royalsociety,28567809,28,False
UCSUSA,18696996,28,False
washingtonpost,2467791,28,False
FAOclimate,146620155,28,False
Oxfam,11695472,27,False
MWClimateSci,2231927636,27,False
emorwee,19055698,27,False
LFFriedman,30927826,27,False
ClimateOpp,2185084844,27,False
fionaharvey,25115550,27,False
physorg_com,17248121,27,False
esa,21436960,27,False
ProfBrianCox,17939037,27,False
borenbears,39800314,27,False
KevinClimate,813477602,27,True
NWF,3554721,27,False
climatesavers,17862883,27,False
NASA_ICE,67059584,26,False
NASAGISS,1467609360,26,False
NaomiOreskes,2497242884,26,False
coralsncaves,206001945,26,True
GreatLakesPeck,436006103,26,False
blkahn,108408529,26,False
suzyji,17423992,26,False
MattMcGrathBBC,960709321,26,False
DrShepherd2013,810709142,26,True
greenpeaceusa,5360012,26,True
EUClimateAction,856148305,26,False
UN_Women,17137628,26,False
AP,51241574,26,False
EnvDefenseFund,20068053,26,False
earthhour,12626962,26,False
AOC,138203134,25,False
climatemorgan,214502417,25,False
aaas,17292623,25,False
